## Cleanup/Option Decisions ##;;;;;;;;;;;;;;x
option_disable_colonial_railroading_title;Option: Disable Colonial Railroading;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
option_disable_colonial_railroading_desc;This tweak will disable the colonial railroading events in Africa.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ported_hpm_dismantlement_canary_title;The Ported HPM Dismantlement Submod;;;;;;;;;;;;;;x
ported_hpm_dismantlement_canary_desc;Since you can see this decision, this means that the Ported HPM Dismantlement Submod was sucessfully loaded.\n\n§YYou can activate this decision at any time to harmlessly dismiss it for your country.§!;;;;;;;;;;;;;x
turn_on_government_decisions_title;Show 'Government' Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_on_government_decisions_desc;This decision will show the "government decisions", decisions that are not commonly used and can be hidden to avoid clutter. These are:\n-Renovate the Academia\n-Enslave the Serfs\n-Turn Off Vassal Contribution Payments\n-Enable 'Return Cores' Decisions\n-Enable 'Release Vassals' decisions\n-Reform the Colonial Army\n-Increase Conscription Time\n-Reform the Local Government (Change a tag that doesn't exist and that you own their capital to have the same reforms)\n-Choose a Trade Policy\n-Direct No 1\n Dissolve the Upper House\nStart a Propaganda Campaign;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_off_government_decisions_title;Hide 'Government' Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_off_government_decisions_desc;This option will hide the following decisions:\n-Renovate the Academia\n-Enslave the Serfs\n-Turn Off Vassal Contribution Payments\n-Enable 'Return Cores' Decisions\n-Enable 'Release Vassals' decisions\n-Reform the Colonial Army\n-Increase Conscription Time\n-Reform the Local Government (Change a tag that doesn't exist and that you own their capital to have the same reforms)\n-Choose a Trade Policy\n-Direct No 1\n Dissolve the Upper House\nStart a Propaganda Campaign;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_on_organize_colony_decisions_title;Show 'Organize Colony' Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_on_organize_colony_decisions_desc;The decisions to organize colonial nations are hidden to unclutter the decisions tab.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_off_organize_colony_decisions_title;Hide 'Organize Colony' Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
turn_off_organize_colony_decisions_desc;Hide the decisions to organize colonial nations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
disable_trade_policy_globally_title;Disable Trade Policy Decisions;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
disable_trade_policy_globally_desc;The trade policy decisions helps the AI save more money and help historically heavily protectionist countries (like the US, Russia) to do what they did historically and levy heavy tariffs on imports. They happen once every 10 years (sometimes they are rescinded earlier though) and the AI has full autonomy to pick one of the several choices (so no behaviour is guaranteed). If you'd like to disable this for some reason, you can do it with this option.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
cleanup_colonial_cores_title;AI: Colonial Core Cleanup;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
cleanup_colonial_cores_desc;AI: Colonial Core Cleanup;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_colonies_that_werent_annexed_title;Colonial Freedom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_colonies_that_werent_annexed_desc;Our former overlords were defeated and we earned our freedom. Hurrah!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
## Colony Decisions ##;;;;;;;;;;;;;;x
organize_timor_title;Organize Timor;;;;;;;;;;;;x
organize_timor_desc;To better take advantage of our colonies in Timor, we should organize and centralize the administration while modernizing the country just enough to have a modern infrastructure.;;;;;;;;;;;;x
reorganize_timor_title;Reorganize Timor;;;;;;;;;;;;x
reorganize_timor_desc;Now that we have taken possession of Dili, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,
organize_rwanda_burundi_title;Create Rwanda-Burundi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_rwanda_burundi_desc;The pastoralist Hutu-Tutsi live in the territories of the colonies known as Rwanda and Burundi. The mountainous jungle home to these people could be used for cotton, tobacco or coffee plantations. Despite the small size of the colony, organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_rwanda_burundi_title;Claim Rwanda-Burundi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_rwanda_burundi_desc;The pastoralist Hutu-Tutsi live in the territories of the colonies known as Rwanda and Burundi. The mountainous jungle home to these people could be used for cotton, tobacco or coffee plantations. Despite the small size of the colony, reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_mauritania_title;Organize Mauritania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mauritania_desc;The Berbers and the Maghrebi peoples have inhabited the colony of $COUNTRY_ADJ$ Mauritania for years. The arid colony lies mostly on the Saharan desert and as such are not really well suited for cash crops. There are talks of iron somewhere in the mountains in the desert, as well as a fish-rich shore.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_sudan_title;Claim Sudan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_sudan_desc;From the Sahara desert in the north to the tropical jungles in the south, the colony of $COUNTRY_ADJ$ Sudan was historically tied to the Egyptians in the north. Despite the many tribes that inhabit it, the historical ties and heavy Arab influence made Islam and Arab the main religion and language of the colony. While the the vast landmass of the colony is suitable for a range of cash crops, the relative isolation of the colony means we will need to spend extra to make it into a productive enterprise. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
free_botswana_title;Release Botswana;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
free_botswana_desc;Now that Rhodesia/Zimbabwe and South Africa are independent, so should be Botswana.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
## Dismantlement Decisions ##;;;;;;;;;;;;;;x
new_round_of_dismantlement_title;New Round of Dismantlement;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
new_round_of_dismantlement_desc;The Dismantlement of our former colonial masters continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
return_colonies_from_dismantled_tag_title;The Return of Our Colonies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
return_colonies_from_dismantled_tag_desc;With the recent defeat of a colonial power, our claims to one of our colonies they own are once again at the spotlight. The international community at large agrees that these colonies should be returned to the $COUNTRY_ADJ$ government - we just need to take the necessary steps to get them back.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
## Events ##;;;;;;;;;;;;;;x
EVTNAME96095;The Fate of $COUNTRY$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC96095;As the $FROMCOUNTRY_ADJ$ empire crumbles, the victorious nations divide the spoils. $COUNTRY$ was released as one of the former colonies and promised self-rule. Other Great Powers, however, already set their eyes on us.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVT96095OPTA;Will freedom last?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199038;Production in $COUNTRY_ADJ$ Nigeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199038;$COUNTRY_ADJ$ Nigeria has just been declared a colony, with its capital in Lagos. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations and mines. Now with the charters almost complete and with the new colonial organization in place, are several $COUNTRY_ADJ$ companies are drawing up their plans to expand.\nNigeria has potential for a considerable amount of cotton production in the center and the north, as well as some rubber and tropical wood production in the jungles of the south and coffee in the plateaus of the east. Its mineral resources seem to be lacking but new sources can be discovered with the right investment. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA199038;The companies know best what to do.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTB199038;Heavily subside the mining industry. §R(Pay or owe 200,000¤)§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTC199038;We are in need of cotton for our looms.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTD199038;Coffee is a rare commodity that our people will enjoy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTE199038;We don't need to interfere with the natives.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199039;Production in $COUNTRY_ADJ$ Togo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199039;$COUNTRY_ADJ$ Togo has just been declared a colony in the capital city of Lomé. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations as territories are charted. Now with the charters almost complete and with the new colonial organization in place, the $COUNTRY_ADJ$ companies interested in developing new business are drawing plans to expand their business.\nTogo has potential for cotton production in the north as well as coffee in the area near the Bight of Benin. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA199039;The companies know best what to do.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTB199039;We are in need of cotton for our looms.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTC199039;Coffee is a rare commodity that our people will enjoy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199040;Production in $COUNTRY_ADJ$ Ivory Coast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199040;$COUNTRY_ADJ$ Ivory Coast has just been declared a colony in the capital city of Grand Bassam. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations as territories are charted. Now with the charters almost complete and with the new colonial organization in place, the $COUNTRY_ADJ$ companies interested in developing new business are drawing plans to expand their business.\nThe Ivory Coast has potential for cotton, rubber and tropical wood production in the north as well as coffee and tobacco in the Ivory Coast. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTC199040;We need wood for our furnaces.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTD199040;Cigarettes are very popular. We need to acquire more Tobacco.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199041;Production in $COUNTRY_ADJ$ Sierra Leone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199041;$COUNTRY_ADJ$ Sierra Leone has just been declared a colony in the capital city of Freetown. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations as territories are charted. Now with the charters almost complete and with the new colonial organization in place, the $COUNTRY_ADJ$ companies interested in developing new business are drawing plans to expand their business.\nSierra Leone has potential for coffee or cotton plantations, while geologists tell us there's potential for great mineral richness far away from the coast. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTC199041;A mix of cotton and coffee production could be good.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTD199041;If there's mineral richness, we are willing to invest in it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199042;Production in $COUNTRY_ADJ$ Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199042;$COUNTRY_ADJ$ Guinea has just been declared a colony. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations as territories are charted. Now with the charters almost complete and with the new colonial organization in place, the $COUNTRY_ADJ$ companies interested in developing new business are drawing plans to expand their business.\nGuinea has its biggest potential in rubber extraction but it also could provide decent coffee or cotton plantations. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199043;Production in $COUNTRY_ADJ$ Senegal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199043;$COUNTRY_ADJ$ Senegal has just been declared a colony. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations as new territories are charted. Now with the charters almost complete and with the new colonial organization in place, the $COUNTRY_ADJ$ companies interested in developing new business are drawing plans to expand their business.\nSenegal has its biggest potential in rubber extraction but it also could provide decent coffee or cotton plantations. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199044;Production in $COUNTRY_ADJ$ Niger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC199044;$COUNTRY_ADJ$ Niger has just been declared a colony. The $COUNTRY_ADJ$ government commissioned charters and maps to assess the economic potential of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations as new territories are charted. Now with the charters almost complete and with the new colonial organization in place, the $COUNTRY_ADJ$ companies interested in developing new business are drawing plans to expand their business.\nNiger is a poor colony, with little possibility of agriculture due to its location in the Sahel. The main proposal seem to be focusing on cotton and peanuts, but we can also try and use the fields for livestock. We can leave the companies with their own plans or we can choose to guide them to better serve the interests of the people of $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTB199044;Livestock is in high-demand in our country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME199045;Production in $COUNTRY_ADJ$ Chad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
