move_capital_to_algiers_title;Move Capital to Algiers;;;;;;;;;;;;;;;;;;;;;;;x
move_capital_to_algiers_desc;Algiers now belongs to us. It is time to move our government back to its proper place!;;;;;;;;;;;;;;;;;;;;;;;x
declare_independence_unilaterally_title;Declare Independence;;;;;;;;;;;;;;;;;;;;;;;x
declare_independence_unilaterally_desc;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;;;;;;;;;;;;;;;;;;;;;;;x
claim_interior_desc;Now that we have gained independance from Britain, we can now assert our control over the outback.;;;;;;;;;;;;;;;;;;;;;;;x
claim_interior_title;Claiming the Interior;;;;;;;;;;;;;;;;;;;;;;;x
claim_NZ_interior_desc;Now that we have gained independance from Britain, we can now assert our control over our islands.;;;;;;;;;;;;;;;;;;;;;;;x
claim_NZ_interior_title;Claiming the Interior;;;;;;;;;;;;;;;;;;;;;;;x
annex_former_AUS_lands_desc;Since Banat and Transylvania joined the German state they have been cut off by the autonomous regions, perhaps we should re-integrate them?;;;;;;;;;;;;;;;;;;;;;;;x
annex_former_AUS_lands_title;Integrating the Autonomous Regions;;;;;;;;;;;;;;;;;;;;;;;x
annex_former_AUS_lands_GCF_title;Integrating the Autonomous Regions;;;;;;;;;;;;;;;;;;;;;;;x
annex_former_AUS_lands_GCF_desc;Since Banat and Transylvania joined the German state they have been cut off by the autonomous regions, perhaps we should re-integrate them?;;;;;;;;;;;;;;;;;;;;;;;x
declare_independence_unilaterally_title;Declare Independence;;;;;;;;;;;;;;;;;;;;;;;x
declare_independence_unilaterally_desc;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;;;;;;;;;;;;;;;;;;;;;;;x
petition_for_independence_title;Petition for Independence;;;;;;;;;;;;;;;;;;;;;;;x
petition_for_independence_desc;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;;;;;;;;;;;;;;;;;;;;;;;x
balfour_declaration_1926_title;The Balfour Declaration (1926);;;;;;;;;;;;;;;;;;;;;;;x
balfour_declaration_1926_desc;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;;;;;;;;;;;;;;;;;;;;;;;x
adopt_statute_of_westminster_title;Adopt the Statute of Westminster;;;;;;;;;;;;;;;;;;;;;;;x
adopt_statute_of_westminster_desc;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;;;;;;;;;;;;;;;;;;;;;;;x
british_empire_games_title;The British Empire Games;;;;;;;;;;;;;;;;;;;;;;;x
british_empire_games_desc;"Melville Marks ""Bobby"" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.";;;;;;;;;;;;;;;;;;;;;;;x
atlantic_slave_trade_reinstate_desc;$COUNTRY_ADJ$ strength is now enough to challenge the Great Powers of Europe, and now they can do little to stop our right to trade with the African continent. They denied our right, but now we can overturn the laws that banished the slave trade, and allow our country to flourish like never before.;;;;;;;;;;;;;;;;;;;;;;;x
